职位,工资,经验,学历,公司规模
AI算法工程师,18k-30k,不限,本科,50-150人
软件开发工程师,12k-24k,3-5年,本科,50-150人
云服务研发工程师,10k-20k,3-5年,本科,500-2000人
IOS工程师,23k-35k,5-10年,大专,50-150人
JAVA工程师,13k-26k,3-5年,本科,500-2000人
技术总监,50k-100k,5-10年,本科,150-500人
C++软件开发工程师,12k-24k,1-3年,本科,50-150人
集群运维开发工程师-B02,20k-24k,1-3年,硕士,500-2000人
运维开发工程师,15k-30k,3-5年,本科,2000人以上
高级前端开发工程师,18k-25k,3-5年,大专,150-500人
软件开发工程师,15k-30k,3-5年,本科,50-150人
C++开发工程师,15k-30k,3-5年,本科,50-150人
技术经理,50k-100k,10年以上,本科,150-500人
运维开发工程师,15k-25k,5-10年,本科,50-150人
BI开发工程师,10k-20k,3-5年,本科,500-2000人
高级全栈工程师（深圳）,20k-40k,1-3年,本科,50-150人
技术运维工程师,8k-14k,不限,大专,15-50人
算法工程师,15k-30k,不限,本科,2000人以上
高级Web前端开发工程师,15k-25k,3-5年,本科,15-50人
账号支付-Linux go 研发架构/工程师,20k-35k,5-10年,本科,500-2000人
运营开发-web前端开发工程师,15k-30k,1-3年,本科,500-2000人
监控系统开发工程师,15k-25k,3-5年,本科,2000人以上
前端开发工程师,20k-40k,3-5年,本科,2000人以上
高级java开发工程师,12k-22k,3-5年,本科,500-2000人
web前端开发工程师,16k-32k,5-10年,本科,15-50人
客户端开发工程师(Qt or pyQt),15k-25k,3-5年,本科,15-50人
php开发工程师,20k-35k,3-5年,不限,150-500人
前端高级开发工程师,20k-40k,5-10年,本科,500-2000人
高级后台开发工程师,25k-35k,3-5年,本科,50-150人
软件开发工程师c++,12k-22k,1-3年,本科,50-150人
云计算开发工程师,12k-24k,1年以下,本科,2000人以上
大数据开发工程师,15k-28k,3-5年,本科,50-150人
大数据开发工程师,10k-20k,3-5年,本科,500-2000人
大数据系统研发工程师/大数据应用开发工程师,20k-35k,3-5年,本科,500-2000人
算法工程师,18k-36k,不限,硕士,150-500人
算法工程师,20k-40k,1-3年,硕士,150-500人
上位机软件工程师,15k-20k,3-5年,本科,15-50人
信息安全开发工程师(J10190),25k-30k,3-5年,大专,2000人以上
数据开发工程师,10k-20k,1-3年,本科,50-150人
算法工程师,15k-30k,1-3年,硕士,15-50人
C++,20k-40k,3-5年,本科,2000人以上
C/C++（云会议平台开发）,9k-18k,不限,本科,150-500人
GO开发工程师 (MJ000154),15k-30k,不限,本科,150-500人
测试开发工程师(嘉联),12k-20k,1-3年,本科,2000人以上
实时计算研发工程师,20k-40k,3-5年,本科,2000人以上
后台开发工程师,13k-14k,1-3年,本科,15-50人
后端开发工程师,15k-30k,3-5年,本科,少于15人
高级WEB前端开发工程师,18k-25k,3-5年,大专,150-500人
C++,8k-16k,应届毕业生,本科,150-500人
C++ 软件开发工程师,15k-20k,3-5年,本科,150-500人
大数据开发工程师,20k-40k,3-5年,本科,50-150人
信息安全开发工程师(J10175),25k-30k,3-5年,大专,2000人以上
传感器算法工程师,13k-25k,3-5年,硕士,15-50人
后台服务开发工程师,15k-25k,3-5年,本科,150-500人
服务端工程师,10k-20k,1-3年,本科,500-2000人
后端开发工程师,20k-40k,3-5年,本科,150-500人
运维开发工程师,15k-30k,3-5年,大专,2000人以上
c++高级,18k-30k,5-10年,本科,150-500人
C++高级工程师,20k-40k,3-5年,本科,150-500人
高级算法研发工程师,15k-25k,1-3年,硕士,2000人以上
ROS工程师,15k-30k,不限,本科,15-50人
Kubernetes 研发工程师,30k-50k,不限,本科,50-150人
ios开发,20k-30k,3-5年,不限,50-150人
大数据应用开发工程师,15k-30k,3-5年,本科,500-2000人
算法工程师,13k-25k,1-3年,本科,150-500人
技术支持工程师2,6k-9k,1-3年,本科,50-150人
电子工程师,13k-25k,3-5年,本科,15-50人
高级BI开发工程师,20k-30k,3-5年,本科,2000人以上
高级后台开发工程师,20k-40k,不限,本科,50-150人
软件开发工程师（图片算法）,18k-36k,3-5年,本科,50-150人
运维开发工程师,14k-20k,3-5年,大专,150-500人
JAVA高级开发工程师,20k-40k,5-10年,本科,500-2000人
存储产品研发工程师,15k-30k,1-3年,本科,150-500人
React.js 前端开发 - 工程师 / 架构师,16k-30k,不限,本科,2000人以上
算法工程师,15k-30k,3-5年,本科,50-150人
web前端开发工程师,20k-30k,5-10年,本科,2000人以上
QT/mfc软件工程师,12k-15k,1-3年,本科,50-150人
测试开发工程师,15k-30k,3-5年,本科,50-150人
资深后台开发工程师-创新工具,30k-60k,3-5年,本科,2000人以上
中高级java开发工程师,10k-20k,3-5年,本科,500-2000人
爬虫开发工程师,20k-40k,3-5年,本科,50-150人
高级后端开发工程师,20k-30k,3-5年,本科,50-150人
NewSQL研发工程师,30k-60k,3-5年,本科,2000人以上
Linux / C++开发工程师,15k-25k,5-10年,本科,500-2000人
后端研发工程师,20k-40k,3-5年,本科,2000人以上
测试开发工程师,15k-30k,3-5年,不限,500-2000人
大数据开发工程师,15k-30k,3-5年,本科,50-150人
机器学习平台系统开发工程师 (MJ000150),15k-25k,1-3年,本科,150-500人
高级BI工程师/ETL开发,12k-24k,3-5年,大专,500-2000人
Golang后台开发工程师,25k-35k,3-5年,本科,50-150人
算法技术经理,20k-40k,5-10年,本科,50-150人
高级 / 资深后端研发工程师,18k-35k,3-5年,本科,50-150人
技术副总监（大数据方向）J10761,40k-60k,5-10年,本科,2000人以上
安全技术工程师,15k-25k,3-5年,本科,500-2000人
云原生技术开发工程师,20k-30k,3-5年,本科,2000人以上
算法工程师,15k-30k,3-5年,本科,2000人以上
资深后台开发工程师-创新工具,25k-50k,3-5年,本科,2000人以上
中级java工程师,10k-20k,3-5年,本科,500-2000人
AI后端研发工程师,15k-30k,3-5年,本科,2000人以上
C++后台开发工程师 (MJ000029),10k-20k,1-3年,本科,150-500人
WEB前端工程师,8k-16k,1-3年,本科,150-500人
算法工程师,11k-22k,1-3年,本科,50-150人
高级数据分析师（平台技术部）,18k-25k,3-5年,本科,2000人以上
中高级Golang开发工程师,18k-30k,3-5年,本科,2000人以上
c/c++开发岗（基础研发部）,15k-25k,1-3年,本科,150-500人
计算机视觉研发工程师,12k-22k,不限,本科,50-150人
大数据工程师,10k-18k,1-3年,大专,500-2000人
内容理解工程师,25k-50k,3-5年,硕士,2000人以上
存储研发工程师-深圳-00927,15k-25k,3-5年,本科,2000人以上
资深JAVA开发工程师/高级架构师,25k-40k,5-10年,大专,2000人以上
区块链开发工程师,15k-30k,3-5年,本科,150-500人
后台开发工程师（中级/高级/资深）-创新工具,25k-50k,3-5年,本科,2000人以上
java开发工程师,10k-20k,3-5年,本科,500-2000人
机器学习平台研发工程师,15k-30k,不限,硕士,150-500人
大数据开发工程师hadoop,10k-15k,1-3年,本科,150-500人
