职位,工资,经验,学历,公司规模
Python,12k-22k,3-5年,大专,500-2000人
python开发工程师,14k-26k,3-5年,本科,2000人以上
后端研发-python、c++、go、php,35k-70k,不限,本科,少于15人
Python高级工程师,15k-25k,3-5年,本科,50-150人
【2019校招】助理软件开发工程师（python),10k-14k,应届毕业生,本科,2000人以上
python中高端开发工程师,20k-40k,1-3年,本科,2000人以上
python开发工程师,15k-16k,1-3年,硕士,15-50人
存储应用开发工程师-Java/GO/Python,18k-35k,3-5年,本科,150-500人
Python开发工程师,12k-24k,3-5年,本科,15-50人
Python 开发工程师,18k-35k,3-5年,本科,2000人以上
Python工程师,20k-40k,3-5年,不限,150-500人
Python高级开发工程师,20k-35k,5-10年,本科,15-50人
高级python工程师,25k-35k,5-10年,本科,150-500人
Python工程师（NLP方向）,10k-18k,1-3年,本科,50-150人
基础架构师-golang/C++/python,20k-40k,3-5年,本科,500-2000人
python兼职讲师,18k-36k,5-10年,不限,50-150人
Java/Python,8k-16k,应届毕业生,大专,50-150人
高级后端开发工程师（Python方向）,25k-50k,不限,本科,150-500人
高级python工程师,25k-35k,5-10年,本科,150-500人
Python工程师（NLP方向）,10k-18k,1-3年,本科,50-150人
基础架构师-golang/C++/python,20k-40k,3-5年,本科,500-2000人
python兼职讲师,18k-36k,5-10年,不限,50-150人
Java/Python,8k-16k,应届毕业生,大专,50-150人
高级后端开发工程师（Python方向）,25k-50k,不限,本科,150-500人
python后端工程师,12k-16k,5-10年,本科,50-150人
Python测试开发,15k-25k,1-3年,本科,500-2000人
大数据开发（Python）工程师,20k-35k,3-5年,本科,15-50人
高级Python工程师,25k-35k,3-5年,本科,50-150人
Python高级工程师,10k-15k,3-5年,本科,少于15人
python高级开发工程师,20k-25k,5-10年,本科,50-150人
Django工程师,15k-20k,1-3年,本科,15-50人
资深python工程师,35K-70K,5-10年,本科,50-150人
高级python后端研发工程师,26k-52k,不限,本科,500-2000人
python程序员(2018应届毕业）,5k-8k,1-3年,本科,15-50人
Python【实习生】,5k-10k,应届毕业生,本科,15-50人
Python后台开发,10k-18k,1-3年,本科,50-150人
中高级Python开发工程师（广告方向）,20k-30k,3-5年,本科,150-500人
Java/Python（中级）,10k-20k,1-3年,本科,50-150人
Python高级服务端开发工程师,30k-50k,3-5年,本科,2000人以上
Python技术经理,30k-50k,5-10年,本科,50-150人
Python平台开发工程师,22k-35k,不限,本科,500-2000人
Python爬虫工程师,20k-40k,3-5年,大专,500-2000人
高级python开发工程师,20k-40k,3-5年,本科,150-500人
高级Python后端工程师,25k-50k,不限,本科,15-50人
python研发工程师（抓取平台开发方向）,20k-40k,3-5年,本科,150-500人
Python高级开发工程师 (MJ003815),15k-25k,3-5年,本科,2000人以上
Python研发编辑,15k-25k,1-3年,本科,2000人以上
Python高级开发工程师,15k-30k,3-5年,本科,15-50人
python web开发工程师,15k-25k,1-3年,本科,2000人以上
python高级工程师,12k-24k,1-3年,本科,50-150人
python实习生 (MJ000225),4k-8k,不限,本科,150-500人
高级Python开发工程师,15k-25k,3-5年,本科,2000人以上
Python算法工程师（初中级）,15k-25k,1-3年,本科,15-50人
python研发实习生,4k-8k,应届毕业生,本科,少于15人
编程讲师（python系统班）,15k-20k,1-3年,本科,500-2000人
架构师（Python）,30k-40k,5-10年,本科,150-500人
Python教研,15k-30k,1-3年,不限,2000人以上
python讲师,10k-20k,3-5年,大专,2000人以上
Python软件开发工程师（校招-北京）,10k-17k,应届毕业生,硕士,50-150人
python开发工程师（20年毕业实习岗）,3k-6k,应届毕业生,本科,2000人以上
python实习生,10k-20k,应届毕业生,本科,150-500人
研发专家-Java/Python/C++/Go北京,25k-50k,3-5年,本科,2000人以上
Java/Python（高级）,12k-24k,3-5年,大专,50-150人
Java/Python（高级）,12k-24k,3-5年,大专,50-150人
技术经理（侧重python后端）,20k-25k,5-10年,本科,150-500人
Python server端工程师,20k-40k,1-3年,本科,50-150人
高级 Python 开发工程师,30k-50k,5-10年,本科,2000人以上
Python架构师,25k-45k,5-10年,本科,150-500人
Python后端开发工程师,20k-30k,1-3年,本科,150-500人
Python开发工程师（校招）,4k-8k,应届毕业生,本科,50-150人
python中高级讲师,15k-25k,3-5年,本科,150-500人
资深后台开发工程师（python/C/C++),18k-30k,5-10年,本科,150-500人
Python后端开发,10k-20k,1-3年,本科,少于15人
python研发架构师,30k-45k,5-10年,本科,500-2000人
Python项目经理,20k-30k,3-5年,大专,2000人以上
高级零售系统工程师 （Python工程师）,15k-20k,5-10年,本科,2000人以上
Python开发实习生,3k-4k,应届毕业生,本科,150-500人
Python数据开发软件工程师,10k-16k,1年以下,硕士,50-150人
后端工程师（Python）,18k-30k,3-5年,本科,150-500人
Python开发工程师（广告产品）,15k-20k,1-3年,本科,50-150人
python开发（可转强化学习研究员）,15k-30k,不限,本科,少于15人
python程序员（实习生）,3k-4k,应届毕业生,本科,15-50人
Python工程师(服务端),10k-20k,1-3年,本科,15-50人
04537-数据系统开发工程师(Python),20k-35k,1-3年,本科,2000人以上
游戏研发工程师 （Python）（初级）,6k-8k,1-3年,本科,150-500人
python后端,25k-45k,应届毕业生,本科,150-500人
