职位,工资,经验,学历,公司规模
搜索/推荐算法工程师,20k-40k,3-5年,本科,2000人以上
嵌入式软件测试工程师,10k-15k,3-5年,本科,50-150人
架构师,20k-35k,5-10年,本科,2000人以上
自然语言处理算法工程师,15k-30k,1-3年,硕士,15-50人
初级自然语言处理工程师,8k-16k,不限,本科,少于15人
软件测试开发工程师,10k-20k,1-3年,本科,50-150人
大数据工程师（国际化平台 海归团队）,6k-8k,1-3年,本科,少于15人
数据分析师,8k-15k,1-3年,本科,2000人以上
软件开发工程师,10k-15k,3-5年,本科,15-50人
大数据产品中级研发工程师,10k-20k,1-3年,本科,15-50人
首席医学影像处理工程师,20k-40k,3-5年,硕士,15-50人
数据分析课程老师（南京）,10k-15k,应届毕业生,硕士,50-150人
【2019校招】 docker研发工程师,8k-15k,应届毕业生,本科,2000人以上
DBA运维工程师,10k-20k,3-5年,不限,2000人以上
web前端,8k-16k,不限,大专,15-50人
算法工程师（工作地点：合肥）,15k-30k,1-3年,本科,150-500人
软件测试员,8k-15k,1-3年,本科,15-50人
高级软件工程师 (Linux C/C,24k-25k,5-10年,本科,500-2000人
运维开发工程师,10k-20k,1-3年,本科,15-50人
自动化测试,10k-20k,1-3年,本科,2000人以上
语音识别算法工程师（南京）,15k-30k,1年以下,本科,2000人以上
算法工程师——室内定位,15k-30k,1年以下,本科,50-150人
数据咨询顾问/IT咨询工程师（总监）,10k-20k,不限,本科,15-50人
自动化测试主管,10k-16k,3-5年,本科,150-500人
数据挖掘（社交网络）,15k-30k,1-3年,本科,150-500人
人工智能算法工程师,12k-24k,3-5年,本科,150-500人
高级算法工程师,15k-20k,3-5年,本科,50-150人
架构师,25k-50k,5-10年,本科,2000人以上
算法工程师,13k-25k,不限,本科,50-150人
资深测试工程师,10k-20k,3-5年,本科,2000人以上
大数据实习生/数据仓库方向,2k-4k,1年以下,本科,500-2000人
算法负责人/资深算法架构师,30k-60k,3-5年,硕士,2000人以上
机器学习/推荐算法工程师,18k-35k,不限,本科,2000人以上
测试工程师,4k-8k,不限,本科,少于15人
SW Engineer(持续集成),19k-20k,3-5年,本科,500-2000人
系统集成,8k-15k,1-3年,本科,少于15人
web前端工程师 【在线教育经验优先】,6k-10k,不限,大专,150-500人
前端开发工程师,10k-14k,3-5年,本科,150-500人
APP测试工程师,6k-10k,3-5年,本科,15-50人
产品测试工程师,10k-20k,1-3年,大专,50-150人
【2019校招】人工智能算法工程师,8k-15k,应届毕业生,本科,2000人以上
医学图像处理工程师(校招),15k-30k,应届毕业生,本科,15-50人
深度学习算法专家,25k-50k,3-5年,硕士,2000人以上
软件产品销售,4k-8k,不限,大专,少于15人
