职位,工资,经验,学历,公司规模
后端高级开发工程师,18k-32k,3-5年,本科,150-500人
数据开发工程师,15k-25k,3-5年,本科,150-500人
技术支持工程师,15k-25k,1-3年,本科,少于15人
前端工程师,15k-25k,1-3年,本科,2000人以上
高级前端开发工程师,10k-20k,1-3年,本科,50-150人
Golang开发工程师,20k-30k,3-5年,大专,500-2000人
大数据产品研发工程师,25k-35k,3-5年,本科,500-2000人
IOS开发工程师,10k-20k,1-3年,本科,50-150人
高级大数据开发工程师,15k-25k,3-5年,本科,150-500人
云网络开发工程师（高级） (MJ000128),20k-40k,不限,本科,150-500人
大数据实施开发工程师,20k-40k,3-5年,本科,500-2000人
前端开发工程师,8k-15k,1-3年,本科,15-50人
00924-云平台安全开发工程师,20k-30k,5-10年,本科,500-2000人
资深语音/音频处理研发工程师 (MJ000660),25k-50k,3-5年,硕士,500-2000人
安全研发工程师,18k-30k,1-3年,本科,50-150人
移动开发工程师 Flutter/全栈/跨平台,20k-35k,3-5年,本科,15-50人
数据挖掘经理,20k-40k,3-5年,本科,2000人以上
前端开发工程师,15k-20k,1-3年,本科,150-500人
前端开发工程师,15k-25k,1-3年,本科,2000人以上
前端开发工程师,15k-30k,不限,本科,500-2000人
高级软件开发工程师,13k-20k,3-5年,本科,500-2000人
安全产品后台开发工程师,20k-40k,3-5年,本科,50-150人
大数据开发技术经理,25k-35k,5-10年,本科,50-150人
后端开发工程师,13k-26k,1-3年,本科,150-500人
大数据OLAP开发工程师,10k-20k,1-3年,本科,500-2000人
数据产品开发工程师,20k-40k,3-5年,大专,500-2000人
高级前端工程师,15k-24k,3-5年,本科,150-500人
全栈工程师,25k-40k,1-3年,本科,15-50人
大数据开发工程师,15k-25k,1-3年,不限,150-500人
Devops开发工程师,18k-25k,5-10年,本科,500-2000人
数据开发 / 挖掘工程师,15k-30k,3-5年,本科,50-150人
数据开发工程师,15k-25k,不限,不限,2000人以上
Node.js开发工程师,13k-20k,1-3年,本科,50-150人
Java工程师（效率工程）,20k-30k,3-5年,本科,2000人以上
Golang中高级开发工程师 - PaSS,25k-50k,3-5年,本科,500-2000人
容器开发工程师,20K-40K,不限,本科,50-150人
运维开发工程师,15k-25k,3-5年,大专,2000人以上
devops交付开发工程师,12k-20k,3-5年,本科,50-150人
技术总监,35k-60k,10年以上,本科,50-150人
技术风险平台技术专家(P7)/高级专家(P8),25k-50k,5-10年,本科,2000人以上
资深分布式存储研发（机器学习）,25K-40K,5-10年,本科,500-2000人
golang开发工程师,8k-15k,1年以下,本科,50-150人
资深前端开发工程师,20k-40k,5-10年,本科,50-150人
技术支持工程师（上海）,5k-10k,1-3年,大专,150-500人
linux工程师,7k-8k,1-3年,本科,150-500人
技术支持工程师,8k-15k,1-3年,本科,150-500人
高级Java,20k-40k,3-5年,本科,50-150人
C++软件开发工程师,10k-18k,1-3年,本科,150-500人
高级前端开发工程师,20k-30k,5-10年,本科,2000人以上
前端开发工程师,18k-30k,3-5年,大专,500-2000人
资深前端开发工程师,20k-30k,3-5年,本科,150-500人
web前端开发工程师,15k-25k,3-5年,本科,15-50人
安全产品开发高级工程师,25K-50K,不限,本科,50-150人
iOS开发工程师,15k-20k,1-3年,本科,50-150人
运维开发工程师,15k-30k,3-5年,本科,150-500人
java开发（开放平台）,20k-40k,3-5年,本科,500-2000人
后端开发工程师-上海创新业务,20k-30k,应届毕业生,本科,2000人以上
高级数据开发工程师,20k-40k,3-5年,本科,500-2000人
运维开发工程师,15k-25k,3-5年,本科,50-150人
QT软件开发工程师,15k-30k,1-3年,本科,15-50人
运维开发工程师,20k-25k,5-10年,本科,15-50人
高级技术支持工程师,10k-15k,3-5年,本科,500-2000人
前端开发工程师,18k-35k,1-3年,本科,15-50人
测试开发工程师-高级,20k-30k,5-10年,大专,500-2000人
技术支持工程师,10k-20k,1-3年,本科,150-500人
高级测试开发工程师,15k-30k,5-10年,本科,2000人以上
后端首席开发工程师,25k-50k,3-5年,本科,少于15人
算法研发工程师,15k-25k,1-3年,本科,150-500人
golang高级开发工程师,20k-30k,3-5年,大专,50-150人
Unity3d游戏开发工程师,12k-24k,3-5年,大专,50-150人
研发工程师,15k-30k,3-5年,本科,500-2000人
前端开发工程师,15k-20k,3-5年,本科,50-150人
安全开发工程师,20k-30k,1-3年,本科,2000人以上
研发工程师(系统架构方向) (MJ000503),35k-50k,3-5年,本科,2000人以上
hadoop开发工程师,15k-30k,3-5年,本科,500-2000人
运维开发工程师,15k-30k,3-5年,不限,150-500人
运维开发工程师,15k-18k,3-5年,本科,2000人以上
爬虫开发工程师,10k-20k,1-3年,本科,150-500人
android工程师,13k-18k,1-3年,本科,50-150人
大数据开发工程师,10k-20k,1-3年,本科,50-150人
运维开发工程师,20k-30k,3-5年,本科,150-500人
后端开发工程师,15k-20k,应届毕业生,本科,500-2000人
计算机视觉算法开发工程师,20k-40k,3-5年,硕士,2000人以上
高级ETL开发工程师,15k-30k,3-5年,本科,2000人以上
后端Java开发工程师,20k-40k,3-5年,本科,50-150人
25111L-运维开发工程师,13k-26k,3-5年,本科,2000人以上
全栈开发工程师,20k-40k,3-5年,本科,150-500人
解决方案工程师,20k-40k,5-10年,本科,少于15人
ETL开发工程师,9k-15k,不限,本科,50-150人
全栈工程师,25k-35k,3-5年,本科,2000人以上
机器人ROS开发工程师,12k-20k,3-5年,本科,15-50人
Linux开发工程师,15k-30k,3-5年,本科,50-150人
GIS开发工程师,14k-20k,3-5年,大专,2000人以上
Java工程师（偏架构方向）,25k-35k,3-5年,本科,50-150人
高级PHP开发工程师,15k-20k,3-5年,本科,50-150人
数据开发工程师,20k-40k,3-5年,本科,50-150人
算法研发工程师（反作弊方向）,15k-25k,1-3年,本科,150-500人
招商银行信用卡中心-安全开发工程师,30k-50k,3-5年,本科,500-2000人
算法工程师,15k-30k,3-5年,本科,2000人以上
高级java开发工程师（网安）,18k-25k,3-5年,本科,500-2000人
资深前端开发工程师,25k-40k,3-5年,本科,150-500人
运维开发工程师,13k-25k,3-5年,本科,2000人以上
测试开发工程师,20k-35k,5-10年,本科,2000人以上
Android系统开发工程师,15k-30k,3-5年,本科,2000人以上
