职位,工资,经验,学历,公司规模
全栈工程师,10k-16k,3-5年,大专,15-50人
资深算法工程师,25k-40k,3-5年,硕士,15-50人
项目组长,9k-12k,3-5年,大专,15-50人
测试开发工程师,10k-20k,5-10年,本科,50-150人
大数据开发工程师,10k-15k,3-5年,本科,500-2000人
算法工程师,15k-25k,1-3年,硕士,50-150人
大数据部经理,20k-25k,5-10年,本科,500-2000人
运维开发工程师,7k-8k,3-5年,不限,150-500人
游戏研发工程师,7k-9k,应届毕业生,本科,50-150人
互联网运维工程师,10k-20k,1-3年,本科,150-500人
测试组长,20k-30k,5-10年,本科,150-500人
高级前端开发工程师,15k-25k,5-10年,大专,150-500人
高级工程师,15k-30k,5-10年,本科,50-150人
大数据工程师（高级）,24k-48k,3-5年,大专,50-150人
高级网络安全工程师,10k-20k,3-5年,本科,500-2000人
golang软件工程师,15k-25k,1-3年,大专,150-500人
PHP开发工程师,6k-12k,1-3年,本科,150-500人
后端高级开发工程师,15k-25k,3-5年,本科,150-500人
高级测试工程师,18k-25k,5-10年,不限,150-500人
大数据研发工程师,8k-15k,1-3年,本科,15-50人
研发经理,16k-25k,5-10年,本科,150-500人
高级运维工程师,10k-15k,5-10年,本科,50-150人
技术经理,30k-40k,5-10年,本科,50-150人
运维项目经理,4k-8k,1-3年,本科,500-2000人
c++高级开发工程师,12k-20k,5-10年,大专,15-50人
产品经理（金融风控产品经理）,20k-30k,5-10年,本科,2000人以上
.NET研发工程师,8k-15k,1-3年,本科,少于15人
自动化运维软件开发工程师,15k-20k,1-3年,本科,2000人以上
高级软件工程师,12k-18k,3-5年,本科,15-50人
C++服务器开发工程师,4k-8k,1-3年,大专,15-50人
高级自动化测试工程师,10k-20k,5-10年,本科,2000人以上
数据模型工程师,15k-30k,不限,本科,15-50人
资深C++服务器开发工程师,8k-15k,3-5年,不限,15-50人
Whitebox Testing Engineer,7k-13k,3-5年,本科,500-2000人
前端开发工程师,10k-20k,3-5年,本科,50-150人
高级C++,12k-20k,5-10年,本科,15-50人
C++工程师,12k-24k,3-5年,本科,50-150人
机器学习研发工程师,15k-25k,1-3年,硕士,150-500人
数据开发工程师 Data Engineer,8k-12k,1-3年,本科,500-2000人
大数据架构师,20k-25k,5-10年,本科,15-50人
应用运维工程师,9k-18k,3-5年,本科,150-500人
Hadoop开发工程师,10k-20k,3-5年,本科,500-2000人
PHP,9k-12k,3-5年,大专,15-50人
前端开发工程师,10k-15k,5-10年,本科,50-150人
C++高级开发工程师,9k-15k,5-10年,本科,150-500人
数据处理分析,8k-10k,不限,硕士,50-150人
Java,15K-25K,3-5年,本科,2000人以上
高级量化研究员,15k-30k,3-5年,硕士,50-150人
量化策略研究助理（机器学习和算法）,8k-12k,1年以下,硕士,50-150人
软件工程师（全栈）,10k-15k,不限,本科,少于15人
安全开发工程师（网络安全方向）,10k-18k,1年以下,本科,500-2000人
自动化测试,8k-15k,3-5年,本科,2000人以上
AI算法工程师,15k-25k,3-5年,硕士,150-500人
高级大数据工程师,15k-25k,5-10年,本科,50-150人
配置管理与持续集成工程师,8k-15k,1-3年,本科,15-50人
测试工程师（大数据平台）,10k-15k,3-5年,本科,500-2000人
软件测试工程师（成长空间大）,6k-8k,1-3年,本科,15-50人
嵌入式软件开发工程师,10k-15k,5-10年,本科,15-50人
爬虫工程师,10k-15k,1-3年,本科,150-500人
大数据分析工程师,10k-15k,1-3年,本科,150-500人
前端开发工程师,15k-25k,3-5年,本科,2000人以上
业务运维工程师,10k-20k,5-10年,本科,150-500人
数字货币量化交易策略研究员,8k-10k,不限,硕士,50-150人
测试工程师,8k-16k,3-5年,本科,50-150人
前端开发工程师（15薪）,10k-20k,3-5年,本科,50-150人
大数据算法工程师,15k-30k,5-10年,硕士,150-500人
PHP工程师,9k-12k,3-5年,大专,15-50人
机器学习算法工程师,12k-24k,1-3年,本科,15-50人
测试开发工程师,12k-20k,3-5年,本科,500-2000人
《王者荣耀》测试开发工程师（成都）,15k-30k,3-5年,不限,2000人以上
嵌入式开发工程师,7k-14k,不限,本科,150-500人
大数据开发工程师,8k-15k,不限,本科,150-500人
安全开发工程师（协议安全方向）,10k-18k,3-5年,本科,500-2000人
运维工程师,6k-12k,1-3年,本科,15-50人
JAVA研发工程师,8k-16k,3-5年,本科,50-150人
算法工程师,15k-25k,3-5年,本科,15-50人
大数据短期兼职工程师,15k-20k,3-5年,本科,15-50人
机器学习（模式识别）,8k-12k,不限,硕士,50-150人
数据分析师,14k-20k,5-10年,本科,50-150人
前端开发工程师（15薪+社保公积金+午餐）,10k-20k,3-5年,本科,50-150人
c++开发工程师（视频方向）,5k-10k,1-3年,本科,150-500人
技术主管,18k-22k,5-10年,本科,15-50人
高级运维工程师,12k-23k,5-10年,本科,500-2000人
Web前端开发工程师,10k-20k,不限,本科,2000人以上
算法工程师,9k-17k,1-3年,本科,50-150人
DBA（数据管理员）,10k-16k,3-5年,大专,150-500人
AI算法工程师,8k-16k,不限,硕士,50-150人
算法工程师,15k-30k,3-5年,本科,50-150人
PHP高级工程师,15k-20k,5-10年,本科,15-50人
初级c++,8k-15k,1年以下,不限,50-150人
前端开发工程师,8k-12k,1-3年,本科,15-50人
大数据开发工程师,10k-20k,3-5年,本科,150-500人
运维工程师,4k-8k,1-3年,本科,150-500人
MYSQLDBA,10k-15k,3-5年,本科,500-2000人
机器视觉实习生（深度学习）,2k-4k,不限,硕士,150-500人
运维安全工程师,5k-10k,1-3年,本科,500-2000人
大数据分析工程师,15k-25k,1-3年,本科,2000人以上
前端工程师,10k-20k,3-5年,本科,500-2000人
算法工程师,10k-20k,3-5年,大专,150-500人
算法工程师：文本分析,15k-25k,1-3年,本科,500-2000人
服务端PHP开发工程师（成都职位）,15k-30k,3-5年,本科,2000人以上
嵌入式软件开发工程师,9k-15k,3-5年,不限,15-50人
后台研发工程师,20k-40k,3-5年,本科,2000人以上
高级Java开发工程师,9k-18k,3-5年,本科,少于15人
测试开发工程师,5k-9k,1-3年,本科,15-50人
系统运维工程师,10k-20k,3-5年,本科,2000人以上
算法工程师,5k-10k,应届毕业生,本科,50-150人
大数据工程师（遥感方向）,15k-20k,3-5年,本科,150-500人
高级游戏测试开发工程师,15k-30k,不限,本科,2000人以上
高级web端软件工程师,5k-8k,3-5年,大专,15-50人
算法工程师,15k-30k,不限,本科,50-150人
数据挖掘工程师,15k-30k,3-5年,本科,2000人以上
运维开发工程师,5k-10k,1-3年,大专,少于15人
测试组长,6k-12k,3-5年,本科,500-2000人
软件工程师,15k-25k,3-5年,本科,15-50人
ROS机器人算法工程师,15k-30k,3-5年,本科,500-2000人
java工程师（兼职）,3k-6k,3-5年,大专,少于15人
NLP算法实习生,3k-5k,不限,硕士,150-500人
Java Junior Engineer,4k-5k,应届毕业生,本科,15-50人
PHP高级工程师,8k-12k,3-5年,本科,15-50人
云计算工程师,5k-8k,1-3年,大专,150-500人
资深后台研发工程师-成都,30k-60k,不限,本科,2000人以上
Java Junior Engineer,4k-6k,应届毕业生,本科,15-50人
算法工程师,15k-30k,3-5年,本科,2000人以上
高级算法工程师,25k-35k,1-3年,硕士,15-50人
亚信安全_高级C/C++开发工程师（成都）,15k-25k,3-5年,本科,2000人以上
c++中级工程师,8k-16k,3-5年,本科,50-150人
数据工程师,9k-15k,1-3年,本科,500-2000人
JAVA开发工程师,11k-16k,3-5年,大专,500-2000人
技术总监,15k-30k,5-10年,本科,50-150人
数据建模主管,15k-20k,3-5年,本科,2000人以上
产品应用工程师,5k-8k,1年以下,本科,150-500人
算法工程师（工业大数据方向）,12k-20k,1-3年,硕士,150-500人
前端开发工程师,9k-12k,3-5年,本科,15-50人
爬虫高级开发工程师,15k-20k,3-5年,本科,少于15人
初级数据挖掘工程师,6k-10k,1-3年,本科,50-150人
图像/视频算法资深工程师/研究员,20k-35k,3-5年,硕士,2000人以上
系统架构师,20k-35k,5-10年,本科,2000人以上
初级数据分析师（技术方向）,5k-7k,1年以下,本科,50-150人
大数据开发工程师-数据仓库,12k-18k,1-3年,本科,150-500人
C#/.NET架构师,18k-25k,5-10年,大专,150-500人
C/C++车载应用软件开发工程师,10k-20k,不限,本科,2000人以上
大数据架构师,25k-40k,5-10年,本科,50-150人
算法工程师,15k-25k,3-5年,本科,2000人以上
高级数据挖掘工程师,15k-25k,3-5年,本科,15-50人
后端开发leader-成都,30k-60k,不限,本科,2000人以上
NLP算法工程师,15k-30k,1年以下,硕士,150-500人
前端开发,5k-10k,1-3年,不限,15-50人
大数据工程师（业务方向）,15k-30k,3-5年,本科,500-2000人
运维工程师,8k-15k,3-5年,本科,50-150人
IT Support Intern,1k-2k,应届毕业生,本科,500-2000人
算法工程师（成都）,15k-30k,不限,本科,2000人以上
