职位,工资,经验,学历,公司规模
后端工程师,15k-30k,3-5年,本科,15-50人
高级软件测试工程师,10k-15k,3-5年,大专,15-50人
自然语言处理,15k-30k,1-3年,本科,150-500人
运维工程师,10k-20k,5-10年,本科,15-50人
高级运维工程师,8k-13k,1-3年,大专,150-500人
高级Android开发工程师,20k-35k,3-5年,本科,150-500人
高级Android 配置工程师,15k-30k,3-5年,不限,2000人以上
UE4开发工程师,18k-35k,不限,本科,2000人以上
运维工程师,4k-5k,1-3年,大专,150-500人
大数据开发工程师,15k-25k,3-5年,本科,2000人以上
高级服务端开发工程师（高并发）,15k-30k,3-5年,不限,2000人以上
服务端研发工程师（初级）,6k-12k,1-3年,本科,150-500人
大数据负责人,20k-40k,5-10年,本科,50-150人
Golang开发工程师,9k-15k,3-5年,本科,150-500人
质量开发工程师,15k-30k,3-5年,本科,500-2000人
高级测试工程师,13k-26k,3-5年,本科,500-2000人
服务器开发工程师,7k-12k,1-3年,本科,15-50人
测试经理,15k-25k,5-10年,本科,150-500人
高级运维工程师,10k-15k,3-5年,本科,150-500人
三维算法工程师,15k-20k,1年以下,硕士,150-500人
高级c++开发工程师,15k-30k,3-5年,大专,50-150人
高级测试工程师,10k-15k,5-10年,本科,150-500人
AI算法工程师,20k-40k,3-5年,硕士,50-150人
高级运维工程师,15k-25k,5-10年,本科,500-2000人
医疗云产品研发,15k-25k,1-3年,硕士,500-2000人
手游IOS工程师,7k-12k,1-3年,大专,50-150人
OpenStack高级服务工程师-广州,15k-20k,3-5年,本科,150-500人
测试工程师,6k-12k,3-5年,本科,15-50人
BI开发工程师,15k-30k,3-5年,本科,500-2000人
测试工程师,13k-18k,5-10年,本科,2000人以上
运维工程师（海外）,15k-25k,3-5年,大专,2000人以上
资深大数据开发工程师,30k-60k,3-5年,本科,500-2000人
数据服务工程师（广州）,15k-30k,5-10年,本科,500-2000人
Openstack高级服务工程师-广州,15k-22k,3-5年,本科,150-500人
.NET/C#软件开发工程师,8k-12k,1-3年,本科,50-150人
高级软件测试工程师（服务器端测试）,13k-25k,3-5年,本科,500-2000人
数据挖掘工程师,15k-30k,3-5年,本科,50-150人
测试工程师,6k-12k,1-3年,本科,500-2000人
测试工程师（广州）,8k-12k,1-3年,大专,150-500人
测试工程师,6k-12k,应届毕业生,本科,2000人以上
ETL开发工程师,15k-18k,3-5年,本科,500-2000人
手游SDK接入工程师（IOS）,7k-12k,1-3年,大专,50-150人
PTBU-数据仓库开发工程师,15k-30k,1年以下,本科,500-2000人
Mysql DBA,15k-25k,3-5年,大专,500-2000人
测试工程师,8k-12k,1-3年,本科,500-2000人
前端工程师,6k-12k,1-3年,本科,50-150人
大数据开发工程师,20k-40k,不限,本科,500-2000人
数据库研发工程师,9k-18k,3-5年,本科,50-150人
ZBBU-数据仓库开发工程师,15k-30k,1-3年,本科,500-2000人
游戏运维工程师,10k-15k,应届毕业生,本科,2000人以上
数据分析工程师,13k-26k,3-5年,本科,50-150人
高级测试开发工程师,15k-25k,3-5年,本科,150-500人
中级测试工程师,13k-17k,3-5年,本科,2000人以上
数据分析经理,20k-30k,5-10年,大专,50-150人
运维工程师,7k-12k,1-3年,大专,15-50人
爬虫工程师,9k-18k,1-3年,本科,150-500人
PHP开发工程师,8k-12k,1-3年,本科,50-150人
手游SDK开发工程师,8k-15k,1-3年,大专,150-500人
高级后端开发工程师（C++）,15k-30k,1-3年,本科,150-500人
服务端开发工程师,12k-18k,1-3年,本科,150-500人
运维经理,15k-25k,5-10年,大专,500-2000人
数据挖掘,15k-20k,1-3年,本科,150-500人
高级算法工程师,25k-40k,5-10年,本科,50-150人
NLP开发工程师,13k-25k,1-3年,硕士,150-500人
OpenStack研发工程师,18k-35k,5-10年,本科,2000人以上
c++开发工程师,15k-30k,3-5年,本科,2000人以上
阿里大文娱游戏事业部-运维研发工程师-中台,15k-25k,3-5年,本科,2000人以上
产品研发总监,10k-15k,5-10年,本科,150-500人
自动驾驶测试工程师（跟车测试）,8k-15k,1-3年,本科,150-500人
测试,15k-30k,5-10年,本科,150-500人
在线课程专员/助教,4k-8k,不限,本科,15-50人
高级C++工程师,10k-15k,3-5年,本科,50-150人
测试工程师,8k-16k,3-5年,本科,2000人以上
运维工程师,6k-10k,1-3年,大专,150-500人
高级前端开发工程师,12k-18k,3-5年,本科,50-150人
区块链工程师,15k-30k,1-3年,不限,15-50人
中间件运维工程师,15k-25k,3-5年,本科,500-2000人
大数据开发工程师,10k-20k,3-5年,不限,150-500人
英语翻译,4k-8k,不限,本科,15-50人
U3D客户端开发工程师,18k-35k,不限,本科,2000人以上
知识工程师,4k-6k,1-3年,大专,15-50人
NLP算法工程师,15k-25k,不限,硕士,150-500人
游戏运维工程师,8k-13k,1-3年,大专,150-500人
DevOps开发工程师,20k-25k,3-5年,本科,150-500人
（高级）算法工程师,18k-30k,3-5年,本科,2000人以上
高级运维开发工程师,15k-20k,3-5年,本科,2000人以上
数据平台架构师,25k-35k,5-10年,本科,500-2000人
数据挖掘工程师,15k-30k,3-5年,本科,150-500人
大数据开发工程师,10k-20k,1-3年,大专,50-150人
数据库开发工程师,12k-18k,3-5年,本科,2000人以上
大数据开发工程师,10k-15k,1-3年,本科,500-2000人
c++开发工程师,13k-17k,3-5年,本科,150-500人
数据开发工程师,10k-20k,3-5年,本科,2000人以上
安卓开发,8k-15k,不限,不限,50-150人
3D引擎开发工程师,9k-15k,1-3年,大专,50-150人
高级php开发工程师,10k-15k,3-5年,大专,15-50人
算法工程师（AI）,15k-25k,3-5年,不限,150-500人
文远知行—高级架构师,30k-60k,5-10年,本科,150-500人
GIS开发工程师,7k-14k,不限,本科,50-150人
